,year,tax_band,engine_capacity,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
0,2000.0,,1598.0,11.1,6.5,8.2,25.4,43.5,34.4,74.0,195.0,980.0,,,,,618.0,,,,,
1,2000.0,,1747.0,11.5,6.6,8.4,24.6,42.8,33.6,74.0,200.0,1105.0,,,,,633.0,,,,,
2,2000.0,,1970.0,12.4,6.6,8.8,22.8,42.8,32.1,74.0,210.0,1103.0,,,,,663.0,,,,,
3,2000.0,,1598.0,11.3,6.6,8.3,25.0,42.8,34.0,73.0,195.0,980.0,,,,,626.0,,,,,
4,2000.0,,1747.0,11.5,6.6,8.4,24.6,42.8,33.6,74.0,200.0,1105.0,,,,,633.0,,,,,
5,2000.0,,1970.0,12.4,6.6,8.8,22.8,42.8,32.1,74.0,210.0,1103.0,,,,,663.0,,,,,
6,2000.0,,1598.0,11.4,6.4,8.2,24.8,44.1,34.4,74.0,195.0,919.0,,,,,618.0,,,,,
7,2000.0,,1747.0,11.4,6.4,8.2,24.8,44.1,34.4,74.0,195.0,1069.0,,,,,618.0,,,,,
8,2000.0,,1970.0,11.7,6.6,8.5,24.1,42.8,33.2,73.5,202.0,1078.0,,,,,641.0,,,,,
9,2000.0,,1970.0,11.7,6.6,8.5,24.1,42.8,33.2,73.5,202.0,1078.0,,,,,641.0,,,,,
10,2000.0,,2387.0,8.9,5.4,6.7,31.7,52.3,42.2,74.0,178.0,666.0,,,0.062,,517.0,,,,,
11,2000.0,,2492.0,16.5,8.4,11.4,17.1,33.6,24.8,74.0,271.0,1200.0,,,,,858.0,,,,,
12,2000.0,,2492.0,17.5,8.6,11.9,16.1,32.8,23.7,71.0,283.0,1570.0,,,,,898.0,,,,,
13,2000.0,,1598.0,11.5,6.5,8.3,24.6,43.5,34.0,74.0,198.0,1097.0,,,,,626.0,,,,,
14,2000.0,,1747.0,11.7,6.4,8.4,24.1,44.1,33.6,74.0,199.0,848.0,,,,,633.0,,,,,
15,2000.0,,1970.0,12.2,6.8,8.8,23.2,41.5,32.1,73.5,209.0,1296.0,,,,,663.0,,,,,
16,2000.0,,1970.0,12.2,6.8,8.8,23.2,41.5,32.1,73.5,209.0,1444.0,,,,,663.0,,,,,
17,2000.0,,2387.0,9.0,5.6,6.8,31.4,50.4,41.5,74.0,180.0,894.0,,,0.056,,526.0,,,,,
18,2000.0,,2492.0,17.2,8.6,11.7,16.4,32.8,24.1,74.0,280.0,1518.0,,,,,883.0,,,,,
19,2000.0,,2492.0,17.7,8.7,12.0,16.0,32.5,23.5,71.0,287.0,1267.0,,,,,905.0,,,,,
20,2000.0,,1970.0,13.8,7.3,9.7,20.5,38.7,29.1,73.5,230.0,1171.0,,,,,731.0,,,,,
21,2000.0,,2492.0,16.3,8.6,11.4,17.3,32.8,24.8,73.0,271.0,1170.0,,,,,858.0,,,,,
22,2000.0,,2492.0,17.5,9.1,12.2,16.1,31.0,23.2,72.0,289.0,1177.0,,,,,917.0,,,,,
23,2000.0,,2959.0,19.4,9.3,13.0,14.6,30.4,21.7,72.0,308.0,1220.0,,,,,980.0,,,,,
24,2000.0,,2959.0,18.3,9.1,12.5,15.4,31.0,22.6,74.0,296.0,1214.0,,,,,941.0,,,,,
25,2000.0,,2959.0,16.8,8.7,11.7,16.8,32.5,24.1,75.0,278.0,1222.0,,,,,883.0,,,,,
26,2000.0,,2959.0,16.8,8.7,11.7,16.8,32.5,24.1,74.0,278.0,1256.0,,,,,883.0,,,,,
27,2000.0,,1970.0,13.3,6.8,9.2,21.2,41.5,30.7,74.0,220.0,1292.0,,,,,693.0,,,,,
